TimeStamp;GazeX;GazeY
23287823,7780791;338,660041684134;159,522511910102
23287838,5462038;338,440097461888;160,249081709198
23287868,4562214;335,306531099679;161,740048685686
23287883,7593394;328,522322833015;166,218657834823
23287914,7688517;330,688359605873;157,125764608549
23287928,6816713;329,790544050256;161,539601948063
23287958,8683801;332,885966490642;150,680345713621
23287973,6809806;324,903007020723;153,496474652664
23288003,6876477;339,512948845141;140,034897692145
23288018,6781517;349,391920930584;132,993666235934
23288031,0154994;359,211083920701;115,368426902255
23288065,0095987;371,815735574585;114,988260073565
23288076,2294903;374,693600596528;105,94111930401
23288093,8992374;379,471000197931;102,492722200891
23288109,0171818;376,135316938518;104,43551387619
23288121,6568798;372,18585885588;107,825787933909
23288139,200897;374,688897861703;112,827541024411
23288154,0083657;396,486432555293;119,677877970363
23288166,218273;405,058888978559;117,039158208855
23288183,8469654;422,618012104913;119,087882887132
23288212,0318327;427,244993307795;121,136517797937
23288228,7175513;440,422430803152;126,447197311882
23288244,1861708;441,279608816272;128,37352897035
23288273,695478;430,959880088547;135,656114042519
23288288,6722971;424,716294351568;138,301317632344
23288301,1606062;420,658608621851;134,34516586176
23288318,8602889;420,331255680142;136,852145364413
23288333,7015422;419,496939270025;138,604934253002
23288364,7897425;435,580743565233;140,188788724526
23288378,7363467;442,224794026751;137,414620786459
23288390,8850996;448,893880622495;128,053656395265
23288408,7609752;449,296671549021;127,852509030007
23288424,1551831;447,249618701574;128,800355114027
23288435,8951003;444,352239247906;134,368398187222
23288453,7893649;442,170688666081;135,048544275772
23288468,6969043;436,132430927727;136,404965446659
23288480,9354642;429,308547441588;138,209214417557
23288514,8410394;429,378551547777;137,600871451022
23288525,9056932;429,097514886516;138,178328111409
23288543,8581186;447,34974061991;128,709882417164
23288558,8819795;447,237394505534;131,912082527667
23288571,1149799;442,457275737994;119,671285775399
23288588,8445983;442,281958669355;120,091287021713
23288603,8932631;442,776291021812;122,911731860075
23288616,3007458;432,060055225717;123,349963458417
23288633,8823964;436,468530187439;124,796016303179
23288662,041177;437,567739594785;123,009148640072
23288678,8722974;435,482414346036;122,747596563382
23288694,1232418;433,921712242908;123,054614035874
23288705,8144065;426,808262422559;119,30006524046
23288723,8485135;431,792657225318;121,909660713109
23288738,9711621;461,841973949668;123,725441591741
23288768,8512441;468,029487869273;123,3656756614
23288784,0093878;467,422774385695;123,599041081337
23288814,8829066;470,551857481188;128,061574081548
23288828,8547423;475,094693129106;127,743654944402
23288840,8606593;481,653143023208;132,834088646601
23288858,7698917;497,99787424572;142,882347140533
23288873,8271095;500,022715475509;141,141982289271
23288885,8869107;502,365066307085;141,405421056044
23288903,6340629;508,190010258114;141,327398583281
23288918,9692548;519,313966333807;130,328001914619
23288930,9824419;521,579951870715;125,055411188641
23288964,7473194;515,018614042443;123,398660192696
