RecordingTime [ms]	Time of Day [h:m:s:ms]	Trial	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category Right	Index Right	Pupil Diameter Right [mm]	Point of Regard Right X [px]	Point of Regard Right Y [px]	AOI Name Right	Gaze Vector Right X	Gaze Vector Right Y	Gaze Vector Right Z	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
950590.4	13:28:56:720	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	202.6	773.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950594.4	13:28:56:724	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	204.6	769.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950598.4	13:28:56:728	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	205.9	767.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950602.4	13:28:56:732	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	205.5	766.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950606.4	13:28:56:736	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	205.6	765.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950610.4	13:28:56:740	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	206.3	763.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950614.4	13:28:56:744	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	206.6	763.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950618.4	13:28:56:748	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	207.7	762.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950622.4	13:28:56:752	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	207.7	763.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950626.4	13:28:56:756	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	208.7	764.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950630.4	13:28:56:760	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	209.2	765.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950634.4	13:28:56:764	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	210.5	767.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950638.4	13:28:56:768	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	211.2	770.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950642.4	13:28:56:772	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	208.7	772.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950646.4	13:28:56:776	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	208.1	774.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950650.4	13:28:56:780	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	207.7	777.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950654.4	13:28:56:784	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	206.0	779.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950658.4	13:28:56:788	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	204.7	781.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950662.4	13:28:56:792	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.4	203.3	784.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950666.4	13:28:56:796	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	200.6	788.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950670.4	13:28:56:800	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	196.4	789.1	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950674.4	13:28:56:804	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	193.7	789.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950678.4	13:28:56:808	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	193.7	791.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950682.4	13:28:56:812	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	191.6	791.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950686.4	13:28:56:816	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	189.9	791.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950690.4	13:28:56:820	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	189.7	790.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950694.4	13:28:56:824	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	190.3	787.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950698.4	13:28:56:828	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	194.1	787.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950702.4	13:28:56:832	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	197.4	784.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950706.4	13:28:56:836	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	195.7	784.6	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950710.4	13:28:56:840	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	195.6	783.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950714.4	13:28:56:844	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	195.3	784.2	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950718.4	13:28:56:848	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	197.8	785.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950722.4	13:28:56:852	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	198.7	787.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950726.4	13:28:56:856	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	199.8	786.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950730.4	13:28:56:860	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	200.9	786.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950734.4	13:28:56:864	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	200.6	788.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950738.4	13:28:56:868	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	197.8	790.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950742.4	13:28:56:872	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	199.1	790.7	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950746.4	13:28:56:876	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	196.5	792.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950750.4	13:28:56:880	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	197.0	793.0	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950754.4	13:28:56:884	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	197.9	794.5	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950758.4	13:28:56:888	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	198.8	792.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950762.4	13:28:56:892	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	1	3.5	199.4	792.3	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950766.4	13:28:56:896	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	1	3.5	198.4	790.9	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950770.4	13:28:56:900	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	1	3.4	196.9	792.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950774.4	13:28:56:904	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	1	3.4	201.4	783.4	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950778.4	13:28:56:908	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	1	3.4	202.6	742.8	White Space	-0.2	0.1	-1.0	-	-	-	-	-	-	-	-
950782.4	13:28:56:912	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	1	3.4	207.9	692.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950786.4	13:28:56:916	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	1	3.4	206.7	673.5	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950790.4	13:28:56:920	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	1	3.4	203.7	666.5	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950794.4	13:28:56:924	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Saccade	1	3.4	205.6	662.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950798.4	13:28:56:928	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.4	205.3	665.2	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950802.4	13:28:56:932	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.4	205.8	664.0	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950806.4	13:28:56:936	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.4	205.1	663.4	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950810.4	13:28:56:940	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.4	205.3	663.9	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950814.4	13:28:56:944	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.4	203.9	662.7	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950818.4	13:28:56:948	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.4	204.4	662.5	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950822.4	13:28:56:952	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.4	203.5	659.4	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950826.4	13:28:56:956	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	201.4	659.1	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
950830.4	13:28:56:960	Trial001	IndianBill_screenshot.png	0.0	80705.5	Flo3	Coral	84.0	Eye	Fixation	2	3.3	200.7	658.1	White Space	-0.2	0.2	-1.0	-	-	-	-	-	-	-	-
