TimeStamp;GazeX;GazeY
103961217,767881;171,969157502793;113,458729700429
103961229,936327;176,334942830542;109,527250223909
103961246,672537;169,90574335838;110,414119912157
103961261,341471;163,902195433618;120,767911254487
103961273,775917;145,570318731588;113,286798174082
103961290,893167;145,921315594579;110,981095370129
103961305,850767;160,137849437618;120,587860598953
103961352,010804;160,700169118311;122,023920747304
103961380,55281;205,211778131602;147,672433053991
103961395,811478;202,836391200969;146,019549374442
103961425,543216;235,643162430635;110,795630034788
103961440,67872;232,611203189246;111,576616404506
103961470,553294;250,603384062767;110,460524342298
103961515,967931;337,488181253871;119,727999226528
103961530,973856;337,371630715922;119,375206999822
103961560,582002;337,287851216435;115,043971010728
103961576,072458;342,78372122595;101,153766066925
103961588,506049;340,525444269362;100,809808870305
103961605,823868;342,249573545873;103,260248792273
103961621,134282;356,906103896147;113,523481567014
103961651,588753;350,993287618329;113,060145973447
103961665,921552;361,462667555147;112,795941360076
103961678,544166;346,466723777732;111,280236368553
103961695,915441;357,977763477146;113,410695543998
103961710,836263;361,4892749359;115,312176323812
103961723,311336;358,059288270626;111,92115401274
103961740,766859;363,669152718754;111,612381275163
103961755,777916;365,30888542494;116,272253299331
103961768,243581;364,857086680685;113,927861461445
103961802,316427;371,255486812796;112,237891907153
103961813,214742;357,493980534239;108,46129824182
103961830,717307;379,74835898202;120,117361534112
103961845,9114;380,280360046447;119,973329951559
103961858,353544;386,193673881064;116,367393690233
103961875,537934;391,176708614932;109,697085881121
103961890,667451;391,790252102516;102,088694145732
103961903,060415;378,749695656182;107,43509608834
103961920,578803;388,422006939825;109,804950043794
103961949,098571;357,74153960319;97,8748384030314
103961965,60727;359,338919667334;103,661202500913
103961981,069929;420,508719262201;113,273694813156
103961993,441082;444,302528803498;122,400957294149
103962010,832885;458,957031668626;125,759703046751
103962025,880292;476,710238558851;135,954502441734
103962038,404118;483,57347034955;140,251147429069
103962055,920368;497,835151274097;148,390852243329
103962071,018666;499,592181139411;146,893635251994
103962101,868716;498,276631416191;142,064306250545
103962115,763598;497,49502804209;147,453275477703
103962128,313083;489,344973642881;118,500350030182
103962145,758343;486,560641544033;103,157005328679
103962161,069612;488,691159170869;103,369942866861
103962173,288093;482,673644037869;102,478434005244
103962190,753025;456,345373217823;114,903598420109
103962205,853461;443,004173251513;121,300109779817
103962218,233168;431,366654679653;131,587589977924
103962251,855694;332,769494708045;155,282546769023
103962263,61787;303,175083723365;150,334374511204
103962280,939537;263,367122363003;153,064600042963
103962296,063495;246,770523276685;151,866955657365
103962308,297799;205,868746083344;145,3164410424
103962325,95774;201,507990088537;137,358714546641
103962340,750266;203,294031194617;138,286776042291
103962353,344655;194,463356333904;132,656674926631
103962370,997326;193,462258279715;140,112969704349
103962399,298563;179,272788901722;138,601932620228
103962415,767062;164,557538628989;154,218445515595
103962430,871775;161,776271121815;156,559361005941
103962443,46873;148,087078017361;151,154028528083
103962460,79724;150,218034524593;159,01635804236
103962475,952416;155,514679049564;159,517593892772
103962488,30347;129,096592229083;162,307805660627
103962505,685864;132,398007904207;167,065331530104
103962520,896207;138,232877848153;169,528331890344
103962551,776621;152,738999432775;171,376913946142
103962565,727526;155,0303095795;170,617776346725
103962578,217995;147,233164073939;166,237102634446
103962596,225618;150,305050466276;164,721816158688
103962611,12463;153,763141245694;173,322372244266
103962623,426076;133,587114633943;160,636886565463
103962640,794357;140,841262135102;159,986821130001
103962655,778472;148,465627737216;160,746536868044
103962668,306574;146,891284481102;158,55671434848
103962701,814062;154,634312074675;161,236442754255
103962713,460343;147,809255817526;161,608165373197
103962730,622069;160,097798980146;166,378925554916
103962746,205753;162,82477521161;169,644627470134
103962759,051602;149,690839668553;157,402812415313
103962776,092301;147,190671170478;153,743457723672
103962790,960094;202,536194490862;173,816303749818
103962820,705517;220,409976125563;178,87805972775
103962849,224429;212,47836374134;168,63033256851
103962865,739971;216,750000182186;165,915586175334
103962881,063642;214,626684444891;162,63367612695
103962893,967224;215,258895246391;161,864078353938
103962912,482899;224,174998222799;164,955468974155
103962927,239503;245,108724710008;174,957756081709
103962939,468247;281,239958155661;192,327273498088
103962956,594905;265,166124604686;187,155946470523
103962971,498621;263,885339286217;185,70716199688
103963001,377043;270,766872097286;188,506008403011
103963015,906991;257,3917555655;184,832462480785
103963028,374794;244,19585353957;186,561966372188
