id,start_timestamp,duration,start_index,end_frame,norm_pos_x,norm_pos_y,dispersion,avg_pupil_size,confidence
0,13792.312902013,0.78809536800145,0,15,0.1778137603935715,0.47098125682458825,0.97135210241140324,68.41560797817667,0.7135999459336239
1,13793.116917916,0.3733986150000419,16,27,0.18837908466804562,0.43464180833790855,0.99410635527617308,59.39591281276846,0.7551240824182088
2,13793.504976089002,0.30408541899851116,27,36,0.18821013693509892,0.44324967730436465,0.56206207767168825,60.37182497674777,0.7556038781334556
3,13794.031936487001,0.1521161149994441,43,48,0.1436361502036666,0.61567458984778189,0.58743257521145598,71.58737897342623,0.7450934044008624
4,13795.021933512002,0.25197392299924104,73,80,0.13735598220818165,0.67398228370724622,0.58606241403235748,77.53957938564163,0.767706987255598
5,13795.323854126502,0.3540840469977411,82,92,0.122688398683773,0.66394244563105154,0.77836311648857004,76.3837709725899,0.7754372873438938
6,13795.701878555,0.23602034949908557,93,100,0.1094377793612487,0.65456051058538822,0.2338406774665675,76.97803280917621,0.7567487469258888
7,13795.9459914345,0.4038528804994712,100,112,0.11065525225552036,0.44209319981004269,0.90880952006691273,75.58415574217346,0.95335194222019
8,13796.780933669,0.16803295300087484,125,130,0.74540431814998476,0.45077434273470485,0.60839615453848384,68.72730255066644,0.9948541287388672
9,13797.385031162,0.23582586500015168,143,150,0.22967225754126772,0.32777614558687623,0.47110859198992089,60.58836202710246,0.9884338803045368
10,13798.073870899001,0.31895431699922483,164,173,0.3796742363767846,0.22483192979881875,0.89307818998462918,61.2841689454145,0.9952104035864116
11,13798.528900912,0.468824322000728,177,191,0.31343626309797118,0.19896803238513827,0.99302568600833208,65.59997888982271,0.9933549834637799
12,13799.016951459002,0.6719237429988425,192,212,0.29636380621042796,0.17486862683829654,0.85412174266074758,63.39292194126163,0.9982415825296128
13,13799.97300967,0.2520079639998585,220,228,0.39547232536617849,0.14315309540030161,0.93317385180668833,66.44404595221518,0.9989157144158913
14,13801.129966499502,0.47795451849742676,255,269,0.16172659218153954,0.65262777313886955,0.64392536297149405,73.48726073947975,0.7664321267516104
15,13801.710062721,0.5278560310016474,272,288,0.15665794307279235,0.65318636974983779,0.67663348639208498,74.31281744363928,0.7455673173916267
16,13802.397961820001,0.39603340449866664,293,304,0.10226295716756054,0.5573837783968657,0.99721658771404587,78.54896625592332,0.9813292593243721
17,13802.801998149502,0.17595924150009523,305,310,0.094593164314073649,0.54159495063326069,0.25424129567414055,76.200916238292,0.9964472789383463
18,13802.985946682002,1.0195223160008027,310,341,0.11291228448458698,0.50302336559169492,0.72266224070857044,76.72503255516537,0.9916315604127715
19,13804.224898528,0.16799407899998187,347,352,0.1754414392019209,0.54415819241903152,0.75785308564622544,66.66709906522014,0.771284479522018
20,13804.440901338001,0.37203202199998486,354,365,0.18773507413526541,0.55048245730732548,0.38785097745280012,66.84707555257923,0.8911338259707444
21,13805.925966845001,0.6559087689984153,398,418,0.19090546302549327,0.55008195291863782,0.64415072601536949,77.7128224925361,0.765914174152041
22,13806.7579125645,0.3860253554994415,423,434,0.10581584836242851,0.48422588125485394,0.99667788967709614,80.35913185075762,0.8025289113364386
23,13807.151957935,0.6900166149989673,435,455,0.10039547924620804,0.48264479751059797,0.49943873601235295,77.53137748527946,0.9764099105228855
24,13807.847033305,0.3678844850001042,455,466,0.10334930738939033,0.45838410434667703,2.8552709847690861e-07,88.4971383919847,0.9982608695652174
25,13808.426879258,0.17113558150049357,473,478,0.11334386544069355,0.48421751612399239,0.94209062245130215,78.67771863547924,0.8137557127641815
26,13808.605934950501,0.18401453250044142,478,483,0.09268335855860349,0.45184904945295151,0.99091242356153064,78.77150651547792,0.8568807111221487
27,13808.798023268002,1.1328258069988806,484,517,0.091049679760388066,0.44923266733381129,0.53032009831115867,89.80973487663508,0.9992765463797518
28,13810.175923367002,0.20205179749973468,525,531,0.35775190044547195,0.76672555999149661,0.524876207263409,74.08702889636261,0.9624332406590285
29,13810.4699670425,0.19408950500110222,534,539,0.29634121694198245,0.7573468556700913,0.47878983588222268,70.76195648785631,0.9361386917120709
30,13810.672029037501,0.4279399890001514,540,552,0.27758336231054026,0.75998136842689712,0.98008482539468922,71.10667513242979,0.9989997101758668
31,13811.242027589502,0.32785598749978817,557,566,0.27386225039333689,0.75987078915878525,0.76673576792011144,68.44301510764315,0.9951793429332909
32,13811.652192439,0.15904819250135915,569,574,0.13703292798605393,0.58193734536806008,0.97195547575572705,70.64155246057074,0.7875178896198909
33,13811.824814809,0.21935971300081292,574,580,0.12935421645990339,0.57596247975307591,0.52664322740130909,71.76006125479896,0.836941971224383
34,13812.165901052002,0.17001175899895316,584,589,0.36510894168608959,0.6766700868137947,0.69850346927606444,71.9869938079058,0.9912519407845102
35,13812.351933727501,0.4379969829988113,590,603,0.397184631438189,0.65923144337480655,0.69882647890838845,72.24246316602711,0.9965284927196278
36,13812.808921951,0.283941842000786,603,612,0.89381997014095005,-0.027115348923064664,0.98097370845207377,73.37216578171723,0.9965705821622799
37,13813.901014174,0.25206206500115513,636,643,0.69097045803448864,0.4092734084997815,0.33529217985026877,64.94215104906796,0.9995977420649691
38,13814.808985411,0.1681536510004662,663,668,0.91352494244490223,0.066601212107855939,0.61246895715532812,63.3984904143297,0.999143656498534
39,13814.993021534001,0.21586340300018492,669,675,0.92968914298506511,0.091150923522117247,0.56001415097296425,63.94467464003601,0.9992341544161852
40,13815.848936032,0.23603210200053582,694,701,0.85890837805014419,0.20738770218280264,0.81758172816711583,64.4143658047998,0.999341891757819
