TimeStamp;GazeX;GazeY;TimeStampWindows
752421410,569945;1588,33756908236;1751,1874184072;10:38:24.116
752421425,472781;1589,22566305011;1752,38269898089;10:38:24.125
752421437,859308;850,727599771672;706,017460467969;10:38:24.137
752421455,603039;451,131196801086;161,992171927627;10:38:24.155
752421470,757334;466,060989474659;169,645748905849;10:38:24.17
752421483,382492;462,506504011868;173,02747343248;10:38:24.183
752421516,686788;465,325451433222;176,709906670755;10:38:24.216
752421528,192779;470,356303011592;182,699131122694;10:38:24.227
752421545,575571;457,97341091505;190,775735390392;10:38:24.245
752421560,848753;460,657573591886;203,629925547258;10:38:24.26
752421573,985384;448,8928477502;192,835917947976;10:38:24.274
752421591,404099;378,801853314397;191,229073996908;10:38:24.291
752421605,93231;343,56736654009;194,133273260149;10:38:24.305
752421618,497169;335,758147099363;194,363523659163;10:38:24.318
752421636,006119;216,924650651642;199,961381169304;10:38:24.335
752421664,233324;190,712545367827;198,873827505906;10:38:24.364
752421681,212412;185,701792113083;201,503293415619;10:38:24.381
752421695,792797;191,466464288852;198,646305717319;10:38:24.396
752421708,183174;193,762887369984;187,068197284772;10:38:24.408
752421725,862757;186,855668579682;174,62364258081;10:38:24.426
752421740,845991;178,690495429972;172,723330306641;10:38:24.441
752421753,132876;177,46293473877;172,247345313936;10:38:24.453
752421771,062635;175,980857356182;172,721212535533;10:38:24.471
752421785,988136;174,206139617411;176,593145759199;10:38:24.486
752421816,965147;173,897020404421;177,972153736683;10:38:24.516
752421831,033632;174,046189693457;177,767818391386;10:38:24.531
752421843,693002;179,562728591177;162,803003452911;10:38:24.543
752421860,856836;159,696569522279;157,710032030911;10:38:24.56
752421875,868295;151,303493927475;158,0842284542;10:38:24.576
752421888,070932;145,214752965568;154,83561857365;10:38:24.588
752421905,902332;142,022794979639;151,783555777338;10:38:24.605
752421920,968958;145,489362015036;137,075969912183;10:38:24.62
752421933,289627;138,827330203566;136,836541406197;10:38:24.633
752421967,187077;140,419369267424;132,834077958712;10:38:24.666
752421978,802547;138,448559735832;129,371277050522;10:38:24.679
752421996,220835;143,767867698523;131,897762608409;10:38:24.696
752422010,938924;191,205372246104;149,091897953929;10:38:24.711
752422023,614972;194,156155980313;159,786705212248;10:38:24.723
752422040,941742;198,13816828461;162,727874877045;10:38:24.74
752422056,169166;198,118040199825;158,102837931786;10:38:24.755
752422068,216565;197,273859275921;155,413287802202;10:38:24.767
752422085,942762;197,840843881345;136,095617037153;10:38:24.785
