TimeStamp;GazeX;GazeY;TimeStampWindows
753081425,611768;652,288961630164;268,642553532013;10:49:24.13
753081456,595193;655,163968036302;285,89654165242;10:49:24.156
753081470,640585;663,761693953037;285,34859840806;10:49:24.17
753081483,158402;666,888244400814;286,453652237489;10:49:24.182
753081500,734066;662,34181987435;277,193783311513;10:49:24.2
753081515,793849;637,563756976277;265,391708857792;10:49:24.215
753081528,158994;587,627719772929;242,522890847565;10:49:24.227
753081545,527674;425,800853950849;178,369194869155;10:49:24.245
753081560,714898;400,976406864655;171,723473428523;10:49:24.26
753081573,3995;352,680297514619;160,417549586116;10:49:24.273
753081606,497667;236,985435064353;121,041814066642;10:49:24.306
753081618,238867;229,724231611298;123,533746295736;10:49:24.317
753081635,742685;173,668104396502;123,594696484947;10:49:24.335
753081650,8277;178,458854739239;124,42979727379;10:49:24.351
753081663,455424;183,192113711781;132,300745294928;10:49:24.363
753081680,349837;178,22749930077;132,767474048917;10:49:24.379
753081695,530219;160,87464643874;135,263862522719;10:49:24.395
753081708,18018;151,419780870379;138,894741559307;10:49:24.408
753081725,508233;137,002260002071;146,498675486586;10:49:24.425
753081754,649759;114,272773473587;151,39633284807;10:49:24.455
753081770,871902;98,0154476618348;168,485888682508;10:49:24.47
753081785,988564;107,257995594791;168,803036163368;10:49:24.485
753081798,24423;105,382793209425;168,306599925872;10:49:24.497
753081815,489746;103,504578400618;171,430922024628;10:49:24.515
753081830,466137;105,446922310998;167,468834481596;10:49:24.53
753081843,622439;110,994236654707;164,665574400586;10:49:24.543
753081860,40438;114,792694603169;161,970447860659;10:49:24.56
753081875,364093;119,521537842413;158,177573070715;10:49:24.575
753081906,445451;122,733163019616;163,245592938051;10:49:24.606
753081920,554563;130,14894205664;169,976654857691;10:49:24.62
753081933,149785;123,585492230592;172,863730284055;10:49:24.633
753081950,59758;102,362743855553;187,375028642083;10:49:24.65
753081965,848525;113,218431862404;180,916411895505;10:49:24.665
753081978,738827;126,393847177573;172,876299898355;10:49:24.678
753081995,686697;128,262350324078;171,220786363209;10:49:24.695
753082010,518114;129,322748338088;170,53241371656;10:49:24.71
753082023,06715;130,51874633956;168,972911027206;10:49:24.722
753082056,699027;132,659829752296;168,893313287255;10:49:24.756
753082068,381211;131,614987510243;168,64238142951;10:49:24.768
753082085,385531;129,550980844273;171,224584841442;10:49:24.785
753082100,473967;129,278190156015;166,751946708203;10:49:24.8
753082113,53918;128,277538236983;167,434183034999;10:49:24.813
753082130,30829;126,596300576298;168,204706610366;10:49:24.83
753082145,516042;119,595317702341;170,0014614543;10:49:24.845
753082158,133502;119,691834102349;169,594261472814;10:49:24.858
753082175,506031;113,839453493869;169,076359218054;10:49:24.875
753082204,097168;117,565963526619;166,279247448274;10:49:24.903
753082220,466851;129,150890623757;163,720445368422;10:49:24.92
753082235,573249;129,461230694529;163,996788756057;10:49:24.935
753082248,405391;118,6603578868;166,410944427417;10:49:24.948
753082265,540144;122,712906558349;164,903673185144;10:49:24.965
753082280,3938;120,894720265915;166,042881368423;10:49:24.98
753082293,616816;118,840525977366;174,314487996235;10:49:24.993
753082310,316647;119,973410263042;172,468966942295;10:49:25.01
753082326,088472;113,730415026494;182,369218611714;10:49:25.025
753082356,351731;112,545639292738;184,511626857423;10:49:25.056
753082370,26284;113,695665351132;185,007425432961;10:49:25.07
753082383,640666;113,247832646943;180,564481540885;10:49:25.083
753082400,281909;110,469614472154;173,869477369369;10:49:25.1
753082415,407123;110,107658976442;168,547146515025;10:49:25.115
753082428,362429;109,238102069442;170,017924167763;10:49:25.128
753082445,195687;108,791611005307;168,694820490388;10:49:25.145
753082460,398307;112,518925497891;173,727174691348;10:49:25.16
753082473,276208;112,19126959123;173,214772274667;10:49:25.173
753082506,525336;134,883513844082;173,179399466397;10:49:25.206
753082518,280649;136,535952399123;172,649484393023;10:49:25.218
753082535,412409;138,074269479137;172,1687458436;10:49:25.235
753082550,588086;137,779535417246;172,350032204107;10:49:25.25
753082563,666984;132,127240170213;168,581530965616;10:49:25.263
753082580,432673;116,33959557149;170,763625483867;10:49:25.28
753082595,758457;117,254780693441;172,073514625515;10:49:25.295
753082608,991737;118,285035890053;172,998754720515;10:49:25.308
753082625,375532;120,701639880981;176,134677771597;10:49:25.324
753082654,861319;123,970611084277;180,54802576734;10:49:25.355
753082670,28589;124,658288336768;186,725313489901;10:49:25.37
753082685,656149;91,0253070605864;206,416815926762;10:49:25.386
753082698,889001;95,4857913316196;204,678047750718;10:49:25.398
753082715,288621;90,723392123622;205,206188879328;10:49:25.414
753082730,475417;92,1482794420115;196,906966936287;10:49:25.429
753082743,118536;94,9506834529819;186,252794055185;10:49:25.443
753082760,789139;94,3843934936608;188,599715545612;10:49:25.461
753082775,922906;94,4238082342942;187,859937238441;10:49:25.476
753082807,091078;103,487075135181;154,996402970515;10:49:25.507
753082821,041103;109,623634821944;156,784392316366;10:49:25.521
753082833,404537;118,011510022489;164,387952543909;10:49:25.533
753082850,356256;121,045034367997;169,248149260764;10:49:25.55
753082865,63457;129,409777530606;180,992583936353;10:49:25.565
753082878,646753;141,675935897431;188,482424590605;10:49:25.578
753082895,43853;143,764382089473;191,401663151706;10:49:25.595
753082910,361465;145,347552642231;187,223777215149;10:49:25.61
753082923,086693;136,562128961969;165,164990493164;10:49:25.622
753082956,230619;132,724600539752;172,534758366978;10:49:25.656
753082968,072745;133,039672412826;170,90695849633;10:49:25.668
753083103,78357;-45,516616941437;389,614193598923;10:49:25.804
753083120,499224;99,7028789370079;293,525606640227;10:49:25.82
753083135,280606;110,431032565642;259,82916279449;10:49:25.835
753083147,845038;149,472022487982;195,659385396445;10:49:25.847
753083165,151708;158,823793343587;182,764786905306;10:49:25.865
