key,value
Recording Name,2016_10_04
Start Date,04.10.2016
Start Time,16:44:32
System Info,"User: Charles, Platform: Darwin, Machine: LIMAs-MacBook.local, Release: 15.4.0, Version: Darwin Kernel Version 15.4.0: Fri Feb 26 22:08:05 PST 2016; root:xnu-3248.40.184~3/RELEASE_X86_64"
World Camera Frames,3033
World Camera Resolution,1280x720
Duration Time,00:01:43
Capture Software Version,0.8.5
