TimeStamp;GazeX;GazeY
101691718,486178;92,7422329245236;157,782046128487
101691746,594068;99,919519509811;162,289184039532
101691761,404103;93,9420182840706;144,713057172275
101691790,894166;93,8760550800597;144,880776477462
101691805,901348;92,8060319248771;142,07764819648
101691836,032035;90,2302786948947;138,530741193849
101691881,015948;95,2628020602242;144,592661350428
101691896,156986;94,2334256777134;143,105348478157
101691908,663257;87,1138944871902;134,58042859069
101691925,697512;76,4742131969894;128,440163177469
101691941,021585;86,6175356138859;137,440736483499
101691970,727612;128,104024347649;129,727945560027
101691985,998656;144,040595010093;135,944991895761
101692016,535185;156,105551268396;134,244101027213
101692030,931252;165,451650675236;133,176409704482
101692060,45681;182,452154995274;113,388710397194
101692076,075108;187,175820449459;113,912257727002
101692105,435164;193,436709870751;111,354022596418
101692121,031652;192,989015984755;103,918092844021
101692167,077427;145,831719848843;107,337517665966
101692196,135561;121,440596149483;113,235981454459
101692211,350155;118,895100733916;114,055918651904
101692241,009996;108,147543167744;120,27617856372
101692256,101853;110,548296127197;123,276736449738
101692286,407449;114,808768081102;128,027402108672
101692314,661169;117,174212911801;131,983145898136
101692330,879035;103,399812450231;129,986076622121
101692345,964051;156,508988509025;137,836078014304
101692375,487043;183,30071181872;143,612149741293
101692391,014251;200,060884072833;144,579532717066
101692420,479082;206,840994349958;144,623469131005
101692435,799734;207,932526014871;137,956914464048
101692481,224557;220,278415192923;137,408420411805
101692510,570929;216,86559859367;108,627886280217
101692525,907404;216,415366827676;103,410091314495
101692555,526618;218,790054634653;95,3551945504711
101692571,211629;223,352069962358;104,987040380464
101692617,314282;225,641315571113;97,4901382941812
101692645,677053;229,670585680139;96,1192340655264
101692660,919444;229,705529370163;109,842797189433
101692690,725542;272,277245534853;139,531077183993
101692705,731442;299,555526504008;124,728905755446
101692718,821458;296,78016506673;127,92195797182
101692736,05671;305,477504590812;130,704806879712
101692764,706436;309,883811676643;124,83401332767
101692780,940553;317,216949910382;120,1951178973
101692795,972967;320,078157680792;121,306210390225
101692825,815416;319,407208852273;110,854199254719
101692840,805064;325,96060158862;110,360718932938
101692870,771105;326,093938120101;118,253867643185
101692885,805657;325,65806360781;118,887478505129
101692916,895995;330,012037403239;113,947443066268
101692930,948657;337,258544149354;109,195292297043
101692943,787641;340,623532406782;112,988183268641
