TimeStamp;GazeX;GazeY
102133057,264384;146,676643924032;188,131310476493
102133072,845048;143,545635660856;180,025167130132
102133087,435697;146,006921268839;189,99097625923
102133099,315029;135,017154138272;166,182169967337
102133116,595612;135,582902780007;183,531707845034
102133131,834582;137,738408862283;189,0764936721
102133161,485442;140,199672573295;204,327712886659
102133206,604922;139,75893185308;197,902754435342
102133221,792146;139,070563524658;193,9006932805
102133251,577717;142,9243351361;172,958592124198
102133266,809845;144,478820831763;174,604156738103
102133278,503575;153,319393300398;172,122420495381
102133296,420078;162,397800964041;171,377615469895
102133312,000742;183,019559051854;178,571835011633
102133342,051885;186,340272919552;190,201916544131
102133356,810174;188,148316183978;185,897298796841
102133386,360536;191,716923479763;195,671420350718
102133401,611908;192,388758622062;196,476905641929
102133449,187396;193,204377240771;191,962641418411
102133454,448377;200,883870101275;193,425084482599
102133493,303603;212,192904615967;191,493564531105
102133521,662953;245,991940929523;182,234271987345
102133536,599572;323,158930224107;153,087348325771
102133566,381722;350,62147025915;140,989778955814
102133581,412425;339,711126255885;155,69219416842
102133611,381886;348,502283532489;144,626137824785
102133656,135296;335,278141636078;195,57566390016
102133671,792937;333,241449000369;230,312449133677
102133701,473733;338,483079763008;204,499062851643
102133716,628456;338,914972337282;205,518227064283
102133746,379387;344,026286422547;138,910902806975
102133761,707309;343,444862017464;139,713092222819
102133792,380686;354,15589884883;158,878120362537
102133806,652306;362,89555148697;166,212663293498
102133836,285633;366,907553117333;166,523520372781
102133851,668294;385,873871464114;163,781045614063
102133881,731411;395,055088598504;160,887489223429
102133896,851921;395,167762580098;160,758258227342
102133942,672324;399,579680826504;173,067643177866
102133971,664599;415,814766616459;207,114800769722
102133986,677769;439,789696976248;179,825513961605
102133998,959094;458,776941683574;150,524927639579
102134016,442384;457,68034406335;144,192345005423
102134031,511149;462,720596543509;147,178409143896
102134043,654342;454,703719454451;135,76459442765
102134061,502848;454,166286265261;129,05138046951
102134106,393961;409,425803913795;136,343966442905
102134121,505491;423,042614825905;128,689213114352
102134151,313727;233,902080669565;180,312127658492
102134166,836231;220,400859048969;185,158352105064
102134196,255731;150,555457717081;220,078901392434
102134211,724351;146,481946377124;224,248825355837
102134242,419538;133,761392037704;230,621987434122
102134256,911399;131,990671054897;231,879346873292
102134286,366395;127,413312277055;232,6553595087
102134301,58441;98,6162883059737;204,406277372436
102134331,322084;94,7966715512937;213,865592270672
102134346,549507;93,8839413220125;213,610880070824
102134392,529424;90,74773410542;214,250590249473
102134421,329683;96,3157235030847;214,106260863582
102134436,431804;101,781024210658;211,823827506776
102134466,565056;98,8349012834839;202,781252776422
102134481,589773;93,729483499623;202,362968054708
102134511,174347;91,5548648543273;202,607589371687
102134556,373797;91,3919081940998;219,380522154914
102134646,407056;188,851577878937;356,024719143015
102134661,785441;153,699172613189;194,22535848535
102134692,321969;153,447682023466;191,363954738335
102134707,030223;147,416026366707;151,35617277266
102134736,365048;146,107104516157;147,267122274487
102134751,516777;145,939088824728;145,784215841861
102134781,33656;138,321223483614;177,20574675998
102134796,525067;138,291693545387;183,886729158773
102134842,439552;137,493933225532;187,99415897569
102134871,321066;151,716490337342;238,452425575871
102134886,511711;149,640388171231;232,952722105551
102134916,465349;182,662746122105;225,454108949906
102134931,517008;194,387343584124;220,748499497484
102134961,532655;210,617147919096;222,850647848425
102135006,424624;243,997605895045;234,102136810118
102135021,623822;251,186198607968;249,570808472782
102135051,263991;251,724534331692;250,738093064364
102135066,624842;251,51386430805;251,721661277571
102135096,340706;252,399622342339;253,163271375508
102135111,534345;252,326996755454;258,099075835638
102135142,381349;248,660575288895;258,481011939261
102135156,633725;248,677773951397;255,222020553003
102135186,453935;250,210560085589;256,978906321062
102135201,469671;250,882741038962;259,594152353288
102135231,164151;255,377476308203;264,121080019918
102135246,353514;288,908220942078;245,042591507848
102135292,517321;344,380250937819;230,186197508223
102135321,522426;418,771917390676;198,921124061211
102135336,533457;427,623657544216;178,538105425524
102135366,277973;411,400228067454;165,95411331668
102135382,011737;422,669457548797;169,396547216602
102135411,024968;413,195618966763;178,007006625866
102135456,348865;395,860700617009;204,912484429262
102135471,888475;377,944158351334;203,957898454338
102135501,384097;359,293205612149;198,398308101989
102135516,871534;355,75736603341;197,210569996155
102135546,332088;351,340072209372;206,664813194784
102135561,562505;350,311410896679;206,667880230843
102135592,240159;352,132510513383;210,121455088235
102135606,527175;354,579249050678;211,426814182911
102135636,224222;353,248925131165;204,959990074177
102135651,469607;354,03903124575;202,543678682028
102135681,550258;352,812263210729;197,448307093079
102135696,604909;352,342213198145;198,553675711667
102135743,133504;354,065185620221;204,653750501893
102135771,628847;372,033730328307;219,343979643608
102135786,503457;424,009714035443;200,186600881861
102135816,237282;457,400882485116;188,341390270629
102135831,455297;476,082098633162;178,805358164177
102135861,239585;486,487065134758;173,064933380277
102135906,236756;485,006441832289;158,713773047393
102135921,382926;486,940393170848;165,909038360552
102135951,144975;484,510378443097;194,745346624142
102135966,657643;485,794135936489;190,721026193247
102135996,605722;489,775650570124;170,805083716542
102136012,073914;488,280797063759;173,987285125277
102136043,564535;488,412657948136;143,669409474163
102136057,677068;489,905330911936;149,962212868245
102136087,074758;514,011900451328;153,755096764734
102136101,53925;518,778651222859;153,008900274349
102136136,42586;525,974195697731;150,712072482052
102136150,531978;524,936921651697;149,79526443632
102136194,630651;525,437203193301;150,959025243613
102136222,706895;527,376154312415;150,602790391966
102136237,513936;530,346576961135;145,027941244877
102136266,542134;533,58422537408;139,019973768751
102136281,658796;532,480117320105;134,22453204181
102136311,112508;493,806296716886;110,985460018735
102136356,220441;434,805319311842;121,027471482312
102136371,657414;310,144652514323;159,887736220956
102136401,30186;137,838404394537;200,221473624322
102136416,542541;106,718333090209;191,208827520693
102136446,476079;92,3170708947431;191,535067591121
102136462,043914;94,5486593729485;208,415800173339
102136492,571462;112,560201260368;248,906692106554
102136506,172095;103,662254989092;226,822649176473
102136536,277122;103,382142082781;247,823330149207
102136551,13206;113,715791620745;271,985879346253
102136581,215705;119,953890789903;283,516324831644
102136596,452537;113,569490539223;264,193528037092
102136642,219482;128,697570723881;321,669925470694
102136671,298144;127,83546388101;319,072276727707
102136686,211242;111,530937464843;270,158675177626
102136716,11399;104,683673428325;252,795965505949
102136731,550108;104,492070321977;242,648171145179
102136761,05856;103,008647435282;241,454133998824
102136806,171197;103,826847289279;240,795171210057
102136821,799759;99,0779560426755;238,662022179825
102136851,165802;108,540941862527;228,526029204422
102136866,397075;108,962625687771;229,60010664996
102136896,240806;107,853931055222;229,799986648447
102136911,402371;106,702255002603;230,406732562537
102136942,541034;145,34011479391;248,896968358612
102136956,543233;156,066965796056;252,018972260995
102136986,270643;160,057807482583;253,463107221899
102137001,452736;171,883851847558;248,220260790407
102137031,108728;185,974188755371;246,109792841933
102137046,369508;188,481416259397;244,840616758722
102137092,3939;193,229798560963;246,991063490706
102137121,042771;202,821450142882;252,356884609621
102137136,325361;231,625099175422;252,500219455088
102137165,988196;240,923678567757;241,427094985357
102137181,725381;250,018794393696;235,677173668622
102137211,148303;255,145027536073;230,176472193861
102137256,482036;264,180660522011;244,143728806075
102137271,641891;263,82245501291;241,215558935584
102137301,045568;133,489201881562;299,538139093187
102137316,57192;91,3389919750524;342,576731159003
102137346,132546;102,64845310329;336,248385633061
102137361,366812;112,980366551168;329,0006990954
102137392,199703;97,2782626428997;368,332371858859
102137406,601758;99,5904470839343;362,899113985876
102137436,347984;92,2562029705994;349,769191502529
102137451,336778;90,5969101138097;348,330800410329
102137481,136889;86,5446350144214;343,865384954501
102137496,446849;85,5730375167813;343,243288629781
102137542,484071;86,8790529079265;344,221548758538
102137571,136363;85,7925004340335;354,358342470527
102137586,615246;83,5945354280707;355,037008394144
102137616,699746;79,427320125822;351,961895639796
102137631,484976;75,0916652030577;350,033119852044
102137661,356933;72,7370039488714;347,455667790059
102137706,133435;71,2568206656918;336,34882956006
102137721,470765;71,7308773011449;329,933012983142
