TimeStamp;GazeX;GazeY
4336200,86189237;180,963454956409;169,579687694553
4336227,33918848;176,317178108218;184,860692540241
4336243,53398967;181,337693492116;177,510901064047
4336258,62245188;194,397708948081;179,46706424084
4336270,13273929;188,52434756754;177,985143844282
4336288,69673953;191,489423193168;180,63796346472
4336303,61884463;191,593378331882;180,52588991734
4336333,77438639;193,517026586047;180,64172273672
4336348,7302761;196,115341202859;185,123361166494
4336379,7445456;202,375273640488;180,245611645964
4336393,93792955;209,615592621311;179,381984192581
4336405,44351278;220,522499517999;177,198965124839
4336423,94165441;227,265667010354;174,417064230761
4336439,04508449;241,893920241019;174,303676935291
4336468,72165461;246,870224301407;173,642100845129
4336483,9127536;252,550944023997;163,700392832237
4336529,84527933;255,679571686842;174,122330081095
4336540,45963317;255,047400039282;166,342575552181
4336558,31330134;247,631077222375;173,00850125971
4336573,54160617;245,33674354861;169,770703170554
4336585,32388106;249,673185363232;172,961114756327
4336603,6599421;250,014211590226;174,622619751145
4336618,84377099;276,149831954479;167,98148049256
4336648,74699734;264,83704581031;171,574166995347
4336693,52015508;340,532640286542;147,38917708517
4336708,71724123;342,549236731155;158,674157228083
4336720,2809853;341,56550932068;158,387483263111
4336738,7491912;340,32179095427;159,684966394115
4336753,81456014;347,222885975661;167,278322989157
4336783,67117228;347,051648072567;166,477935618983
4336799,01622645;345,736039896111;165,468121219992
4336829,81752463;348,399549996169;160,807563970316
4336844,18282519;347,549402974108;161,069623716934
4336855,33217325;343,515699076601;162,31697777741
4336873,81406406;344,818568130106;164,647319616049
4336888,80245541;346,568171891446;158,691443904231
4336900,33198722;346,094806425099;163,365705940358
4336918,76512556;341,529146133254;166,110844513056
4336933,92243995;371,895676205323;158,598403670568
4336945,18554378;374,490909087874;157,687967008952
4336979,79937075;378,05450326671;158,311567136038
4336990,1785153;369,443731673842;158,977380815965
4337008,77801075;380,672376596325;149,809951655233
4337023,93318688;377,42275326186;147,232155128869
4337035,36350313;368,335327565265;138,581879896312
4337053,90654835;367,589130587559;136,055146092995
4337068,88168246;377,547064812028;136,989289398096
4337080,51684462;383,211271969115;138,56263847051
4337098,59332014;384,247606456034;139,4983831073
4337126,3445953;385,085948552861;139,721374888124
4337143,62306984;384,692993060551;140,006565565941
4337159,13490878;395,673309855301;142,392819521971
4337170,41939527;409,160773671643;184,176089795401
4337188,78753032;397,462432632062;180,029650766021
4337204,27413771;390,884648572975;172,329947227006
4337215,40167546;389,496596464042;174,263001861857
4337233,55512857;379,364882454712;177,597371721369
4337248,80952025;371,65733986275;179,623304130216
4337279,63733293;357,750589731669;174,607444409631
4337293,95473632;346,449394625707;176,361401335593
4337323,86908165;343,79318877527;171,298367303079
4337338,86559842;351,393761732871;177,432922690417
4337350,57388929;353,744038481602;181,421743791057
4337368,95913046;358,208563793765;176,688329606317
4337384,12542557;358,631293233178;173,611933657005
4337429,64056171;385,736675912262;163,63224414773
4337458,23303083;421,026035031094;159,686048606633
4337473,90695035;464,740952129518;170,208094807308
4337503,21702163;497,0772435163;170,590902144496
4337518,89564534;494,979801563363;159,074205411259
4337549,0246726;494,007615349135;143,125437300947
4337594,00909105;487,074024415961;134,721347141139
4337608,81744038;490,648655293117;140,14508629254
4337620,25331613;490,091133175779;137,445761881266
4337638,73734521;434,959736206463;127,049340902243
4337653,80185884;461,708705459362;149,958479262838
4337683,82867697;430,012502076378;138,373054739723
4337698,92312633;374,990708134812;138,049449104552
4337729,65856592;381,147435720861;139,392895871894
4337743,57098167;372,338321084327;139,21691788031
4337773,6290185;354,835045856967;137,743775275944
4337788,68198549;358,920914544589;126,826048356272
4337818,46760719;363,961331950414;131,379660823733
4337833,62877046;363,634517937042;129,785882211201
4337879,94490115;376,848685053803;146,483534201849
4337908,73665668;388,694510583262;151,56224656328
4337923,86232473;477,304888784686;140,781209817035
4337935,2421779;462,780567086325;141,217305220993
4337953,92976993;455,401381167115;139,120070246215
4337968,9207272;452,323423402386;136,372439135499
4337980,46009503;425,097012584693;127,782468908227
4337998,86971244;427,485680159041;129,952916963949
4338026,44821568;375,779875765639;126,716128192969
4338058,55813283;335,012477855674;159,542328053536
4338070,51275198;352,634352617274;149,237970377431
4338088,62001853;370,687261398995;144,11812150903
4338103,62893724;326,990657609515;152,052585786486
4338115,3812764;298,958169038845;162,027932710698
4338133,6591766;208,328568858661;183,504048710179
4338148,60138141;200,050490819647;173,59168479886
