TimeStamp;GazeX;GazeY
1180720,07436025;331,718009644581;146,732688313622
1180732,42411517;328,814565021699;148,8128622692
1180766,31944118;332,546676628797;148,390854069172
1180777,52950162;330,487282655679;148,153541335863
1180794,99441058;340,246540721285;151,860642421693
1180810,26931002;348,649803584852;161,609459919967
1180822,56432538;342,263931816463;156,467450283342
1180840,10535652;376,665975963902;180,473022611091
1180855,28531706;377,85762921679;182,156203327886
1180867,61625525;365,319018265847;173,506959127055
1180885,06833463;383,39435184379;173,261791703723
1180913,85064486;367,158287226543;170,252334052431
1180930,50386897;350,44191686338;166,109755039078
1180957,48661661;337,896005961786;162,986223920931
1180975,00241624;324,93380876537;158,194799293876
1181002,64973618;305,64964848909;159,80113385308
1181020,09411781;308,420441106214;159,148745457301
1181066,0573756;304,49428704877;163,403955138675
1181080,19386353;313,313937044426;167,792940730251
1181092,29087569;320,198214338245;172,089242127822
1181110,07780713;332,618945833403;168,353742183612
1181125,08371302;333,812301718722;163,223271171042
1181137,86710778;334,329560825864;163,033107143212
1181155,13315822;337,950286062424;163,948814289412
1181170,27719593;338,520944808584;161,781921402853
1181182,52559715;343,017223172698;161,928233070488
1181216,08093926;357,794047504839;148,794640659526
1181227,74901576;369,842609414102;145,442021443382
1181245,1570469;371,706740975784;145,742137485312
1181260,12061517;373,249297644535;145,674808082467
1181272,64998422;377,208828764495;149,413161586714
1181290,07640443;378,013277398713;146,821495613639
1181305,23626529;382,725011251356;143,598771682345
1181317,87425813;383,627809205005;144,164693085661
1181335,10866228;384,636783312648;144,239209811755
1181363,56723941;396,961082423841;168,252181194366
1181380,11183974;403,142870375173;179,164998846078
1181395,27127294;378,413697416899;149,965953579059
1181407,40891211;376,282413629742;148,756671327025
1181425,30831622;376,222999455115;152,808112079004
1181440,47117065;366,268824184412;146,729175007543
1181452,57673586;354,654305061308;145,103819344583
1181470,36580557;348,533917070685;149,953613873538
1181485,26522593;352,914781612506;150,249065238914
