TimeStamp;GazeX;GazeY;TimeStampWindows
82851770,1594331;210,881979986396;162,599931874354;16:40:49.113
82851784,1928508;210,935466478641;161,784981452835;16:40:49.121
82851814,3440644;202,760576532893;158,975164398681;16:40:49.151
82851829,3320025;202,050928961016;158,417460762732;16:40:49.166
82851859,2929108;203,344290822095;154,965371729058;16:40:49.196
82851874,4955304;203,943074659762;156,033427165416;16:40:49.211
82851920,2462252;206,553822846872;156,541760428891;16:40:49.257
82851949,1623784;223,942027680135;168,880564672426;16:40:49.286
82851964,1314997;220,95765065606;171,657998344092;16:40:49.301
82851994,3383082;230,472188329662;171,145611737946;16:40:49.331
82852009,2248926;257,428011937681;172,22185489896;16:40:49.346
82852039,4890065;264,222835287727;168,28761044008;16:40:49.376
82852084,3279462;289,468446649617;163,062090443539;16:40:49.421
82852099,393717;299,943148322551;185,66550725822;16:40:49.436
82852129,3178472;317,444332399039;181,576051079975;16:40:49.466
82852144,644486;318,214007391281;181,32645540144;16:40:49.482
82852174,1721823;311,448938944939;183,090140273062;16:40:49.511
82852189,505236;308,259493400203;183,788418449502;16:40:49.526
82852220,2247998;297,454024983739;184,601198499925;16:40:49.557
82852234,2667705;295,508650962918;181,168035742012;16:40:49.571
82852264,09083;296,42096149935;179,88555528303;16:40:49.601
82852279,3182535;301,234133837656;174,56424835051;16:40:49.616
82852309,2599174;308,721775203701;169,871590238502;16:40:49.646
82852324,1819969;307,420094672567;170,716212078205;16:40:49.661
82852370,3167237;311,578461081229;170,451091103899;16:40:49.707
82852399,1148448;323,649727598039;171,471995095612;16:40:49.736
82852414,2481847;329,731139339313;168,82568168507;16:40:49.751
82852444,3429482;354,736503333618;149,188975023064;16:40:49.781
82852459,3775004;368,991968475743;152,567758834002;16:40:49.796
82852490,4922152;378,568408459402;160,576029350081;16:40:49.827
82852534,3231779;384,910157516066;171,718670492033;16:40:49.871
82852549,3235179;383,412502446448;171,996497041143;16:40:49.886
82852579,2147188;390,89160299463;170,240121708012;16:40:49.916
82852594,5336599;397,414814525873;169,343787669543;16:40:49.931
82852606,424966;406,802435433676;166,331445627848;16:40:49.944
82852624,3752531;391,790399624739;166,821390507596;16:40:49.961
82852639,3315449;449,457634633843;176,43690944152;16:40:49.976
82852670,0895975;439,953293320124;175,084667442745;16:40:50.007
82852684,1362723;448,093205943431;176,11214926504;16:40:50.021
82852696,4770413;423,380258497433;156,18394381858;16:40:50.033
82852714,3405149;437,607015215535;168,376181544712;16:40:50.051
82852729,2694369;433,083314090642;174,845724099982;16:40:50.066
82852741,5751383;433,378180595984;179,906223716561;16:40:50.078
82852759,2264963;437,644857845154;169,107472285473;16:40:50.096
82852774,799463;437,058456420928;166,655153355422;16:40:50.111
82852786,4765152;424,452862791569;151,977056425453;16:40:50.123
82852820,3303445;435,434138673233;140,197000480389;16:40:50.157
82852849,586909;491,59825389636;135,457472667425;16:40:50.186
82852864,7031429;495,31763035842;133,535451915753;16:40:50.202
82852876,4717127;487,274318982238;134,479007227276;16:40:50.213
82852894,4027555;514,040519253585;124,501449487467;16:40:50.231
82852909,2927611;514,414611084579;125,881720425225;16:40:50.246
82852939,1523157;525,365980548177;125,175565484695;16:40:50.276
82852984,6305959;524,21419561249;125,592032125972;16:40:50.321
82852999,8567364;522,278143187017;131,043255294518;16:40:50.337
82853029,716291;526,414748019606;128,598941449074;16:40:50.367
82853044,8167017;528,817875335429;126,349258704009;16:40:50.382
82853074,2019897;532,846564008703;121,901047713547;16:40:50.413
82853089,3306254;529,476972903899;126,028737707342;16:40:50.426
82853120,210559;532,142199552663;128,477223961708;16:40:50.457
82853134,4201695;476,729374887618;141,306022423853;16:40:50.471
82853164,6821451;297,011486636396;176,119146007149;16:40:50.501
82853179,4412891;248,169500762474;182,462616356462;16:40:50.516
82853209,3354836;121,172476126431;199,347571039596;16:40:50.546
82853224,9165757;124,245848440349;201,281637910403;16:40:50.562
82853270,2657048;125,210356439636;199,554918919461;16:40:50.607
82853299,0877744;134,279888617877;200,941557051687;16:40:50.636
82853314,4755676;136,279140880664;202,641873393652;16:40:50.651
82853343,7860164;140,420296650954;208,889189812521;16:40:50.68
82853359,211443;112,460076175577;199,512137488307;16:40:50.695
82853389,1009333;118,638619505783;201,046580236163;16:40:50.725
82853433,5199181;87,4865187385729;182,678831645264;16:40:50.771
82853449,1112739;112,467022388032;193,818300622004;16:40:50.786
82853478,7001245;106,218025789895;193,258653846343;16:40:50.815
82853494,3616153;143,761079496324;197,327150744451;16:40:50.831
82853524,198932;150,916404144665;191,585781529951;16:40:50.861
82853539,3378314;194,720880928314;178,066322816536;16:40:50.876
82853570,0462763;218,158986038108;181,908799565442;16:40:50.907
82853584,2601633;224,035473100937;187,940324600511;16:40:50.921
82853613,8028274;243,334930327301;198,637885694031;16:40:50.951
82853629,2821382;242,429000846657;198,960302777215;16:40:50.966
82853659,2404806;229,677545448076;196,229678035849;16:40:50.996
82853674,3904989;217,472388589424;187,330162378115;16:40:51.011
82853720,2489622;221,648702431214;187,466217684385;16:40:51.057
82853748,9893502;213,970791505604;168,140410603141;16:40:51.086
82853764,1517705;205,791540660584;161,583585289939;16:40:51.102
82853794,1220871;212,727213372074;168,533836546284;16:40:51.131
82853809,2203595;216,14424535122;165,972715875572;16:40:51.146
82853839,1406408;253,779399462984;159,401761384352;16:40:51.175
82853884,0347476;263,512048317202;157,374294547836;16:40:51.221
82853899,2728624;263,149236344457;160,813367082964;16:40:51.236
82853929,3984169;269,232400745544;180,786354966555;16:40:51.266
82853944,3153647;271,370369339406;174,913296391927;16:40:51.281
82853974,4469063;268,970765620723;171,101654154343;16:40:51.311
82853989,4442527;266,285956390403;162,320627468216;16:40:51.326
82854019,9743665;266,720394765837;159,0745470242;16:40:51.357
82854034,174141;267,908898237785;162,037774988985;16:40:51.371
82854064,0131683;267,875265559618;158,60645899442;16:40:51.401
82854079,2816464;269,854601791774;163,50325147187;16:40:51.416
82854108,981259;306,476124867525;170,119942676014;16:40:51.446
82854124,0970652;331,008764699017;161,455410765793;16:40:51.461
82854170,1411296;342,497263646701;163,162096993816;16:40:51.507
82854199,2561412;339,921867461515;174,000748879495;16:40:51.536
82854214,1204877;338,941730832677;168,632098842867;16:40:51.551
82854244,0193864;336,138812767742;164,002531627531;16:40:51.581
82854259,2040446;337,40644935136;166,464260633063;16:40:51.596
82854289,2688724;326,137665089713;189,200748856154;16:40:51.626
82854334,2651882;352,179553691921;178,858987605259;16:40:51.671
82854349,3963898;357,914446284533;178,052798349585;16:40:51.686
82854379,1302146;360,649947163829;176,451479302723;16:40:51.716
82854394,3499404;364,278838466001;168,222268901639;16:40:51.731
82854424,1004436;371,554888306002;155,284153353091;16:40:51.761
82854439,4146805;376,55386738748;151,960506468876;16:40:51.777
82854470,4062314;379,461935260588;159,42821207556;16:40:51.807
82854484,1505559;375,114311073727;160,576603780579;16:40:51.821
82854513,9545157;376,932634359478;161,063591080054;16:40:51.851
82854529,0536435;382,103357880935;167,793021861567;16:40:51.866
82854559,1971594;380,937811649818;172,609854044779;16:40:51.896
82854574,2479623;378,061435538809;174,516295052963;16:40:51.911
82854620,2599529;387,360320352687;179,399596981491;16:40:51.957
82854649,0354083;397,370784124948;176,928242702307;16:40:51.986
82854664,3462241;413,398883718121;173,257331799064;16:40:52.001
82854694,2233125;434,35523100617;168,420927129826;16:40:52.031
82854709,5264304;436,610989023343;175,543394011191;16:40:52.046
82854739,0229081;437,184795928422;172,414069652583;16:40:52.076
82854784,0200792;424,950263318527;190,917714289316;16:40:52.121
82854799,2581939;360,41558808448;204,193621376624;16:40:52.136
82854829,1318611;182,723483968615;205,557488817825;16:40:52.166
82854844,2938537;156,857508064936;206,543599783734;16:40:52.181
82854874,155119;86,2642972827658;217,629589053188;16:40:52.211
82854889,4633688;86,1932567708968;218,762501196301;16:40:52.226
82854920,1234889;104,619424401435;227,008702469659;16:40:52.256
82854934,2180609;101,794389827357;226,278551680087;16:40:52.271
82854963,9600111;75,0584642962382;201,524227706903;16:40:52.301
82854979,1493735;77,448964129977;205,016832204182;16:40:52.316
82855009,4601015;91,3721769494146;220,010022868824;16:40:52.346
82855024,3291522;108,492679290326;233,717083631051;16:40:52.361
82855070,3454192;119,528344251849;244,949959608274;16:40:52.407
82855099,2303538;106,908016032369;247,089578415385;16:40:52.436
82855114,2191471;107,77848289222;245,603458895119;16:40:52.451
82855144,1770618;114,855634453504;244,163477662605;16:40:52.481
82855159,3458969;125,31645629057;242,089441429643;16:40:52.496
82855188,9732362;147,04351913191;235,959702107834;16:40:52.526
82855233,9986324;164,56419831827;221,439002826223;16:40:52.571
82855248,9369627;172,800696800044;223,151341913962;16:40:52.586
82855279,0693597;166,953118947897;212,667841644141;16:40:52.616
82855294,1304263;171,721439722042;212,162469191635;16:40:52.631
82855324,1670291;208,921641816986;211,066131931455;16:40:52.661
82855339,3491214;213,060999515397;212,154328861728;16:40:52.676
82855369,7864346;264,711042912794;227,67869566014;16:40:52.707
82855384,1944758;280,282795710333;236,260782466063;16:40:52.721
82855413,6828281;330,3771266496;255,783327213209;16:40:52.751
82855429,5046886;329,131287110994;255,001028670357;16:40:52.766
82855459,1910439;306,341839270258;250,212022365209;16:40:52.796
82855474,2858951;294,531685712841;233,180382377137;16:40:52.811
82855520,256831;289,968828737198;238,651191531666;16:40:52.857
82855549,3076947;302,344777946113;216,61602907378;16:40:52.886
82855564,2391826;305,420581948127;219,347280470274;16:40:52.901
82855593,9097149;351,289679842303;215,28117647055;16:40:52.93
82855609,2201029;362,890374918534;217,586393194043;16:40:52.946
82855639,0206415;364,608663284107;218,47517292823;16:40:52.975
82855683,9686325;370,789610118186;232,524151148114;16:40:53.02
82855699,2430978;372,059984524941;231,977941552594;16:40:53.036
82855728,893958;375,986034267701;229,054789477065;16:40:53.066
82855744,1885229;378,653114836195;227,398877959683;16:40:53.081
82855774,2264087;380,445651566576;226,850326577556;16:40:53.111
82855789,6625266;384,099333128373;222,089221569711;16:40:53.127
82855820,2281355;372,761407576949;210,799262595203;16:40:53.159
82855834,2692509;370,872804622222;210,371556391965;16:40:53.171
82855864,0261689;378,721640482916;212,676852465964;16:40:53.201
82855879,2411905;404,14862961937;212,827055662324;16:40:53.216
82855909,164893;421,986492620461;219,131490055862;16:40:53.246
82855924,1677989;442,706775633515;222,746907017325;16:40:53.261
82855970,1477155;451,054580373414;223,481590366732;16:40:53.307
82855999,0403477;440,080954789605;213,67473851221;16:40:53.336
82856014,2078999;433,921730511065;208,625121610551;16:40:53.351
82856043,9986024;426,903686036044;208,803980330322;16:40:53.381
82856059,1319423;425,582639061829;209,198714561358;16:40:53.396
82856088,8743202;403,724367872903;227,747457010473;16:40:53.425
82856134,1498931;378,228462166936;230,287389159053;16:40:53.47
82856149,1733263;285,387984782698;236,077641959456;16:40:53.486
82856178,9499163;154,818957417044;258,562881496265;16:40:53.516
82856194,2081308;92,1511869579525;277,540282996237;16:40:53.531
82856224,1681838;94,7147854025855;278,828310657375;16:40:53.56
82856239,6509158;105,164337513967;277,430714636945;16:40:53.577
82856269,8602902;105,911114366921;289,314639276873;16:40:53.607
