TimeStamp;GazeX;GazeY;TimeStampWindows
861759006,957054;338,032374968914;105,830970814708;13:15:35.096
861759018,967253;338,411352324032;107,212977712911;13:15:35.101
861759035,801374;338,314679103573;107,026972384017;13:15:35.119
861759050,809418;338,296771949876;103,87697357667;13:15:35.133
861759064,195376;337,040611802121;104,936148908972;13:15:35.147
861759080,631352;333,185358470872;102,144062842785;13:15:35.163
861759095,837827;334,196122518515;102,233689955517;13:15:35.178
861759109,27382;335,234836369342;103,363138074595;13:15:35.192
861759125,854771;351,582352468831;98,181542136767;13:15:35.208
861759155,406001;415,905645542122;56,3711426376057;13:15:35.238
861759170,75745;417,604869393703;52,8796739279745;13:15:35.254
861759185,762073;440,53463959579;49,9938412544878;13:15:35.269
861759199,468342;438,051626859373;49,0674518907084;13:15:35.282
861759216,095479;426,173475361989;46,320697939258;13:15:35.298
861759231,195041;437,504310700569;54,0311564059389;13:15:35.313
861759244,37487;444,411081398395;56,6269625480303;13:15:35.327
861759260,886541;451,794294356593;56,0804298271784;13:15:35.343
861759275,980971;471,152629351451;51,3022074882033;13:15:35.358
861759321,191133;498,792063912522;46,0897741946267;13:15:35.404
861759334,166971;533,982952916455;45,3969212374607;13:15:35.417
861759351,247848;551,606743961143;50,8383181176059;13:15:35.434
861759365,884262;555,11058919709;52,1466230223211;13:15:35.449
861759378,988824;565,176178560014;82,7284247116699;13:15:35.462
861759395,899922;494,090297635802;95,4783121391959;13:15:35.478
861759411,431414;351,885759458581;114,298891174326;13:15:35.494
861759424,269548;300,935472515994;121,307113429003;13:15:35.506
861759457,150054;120,60071980748;151,12497407597;13:15:35.542
861759468,893825;122,765472397744;151,717129662738;13:15:35.552
861759485,742059;124,775559914465;155,102305310133;13:15:35.569
861759500,968633;124,692075922737;156,463065964226;13:15:35.584
861759513,906838;124,546795214968;156,974837805699;13:15:35.596
861759530,74267;132,940563637465;171,910259146174;13:15:35.613
861759545,756274;158,054405389227;188,134605591694;13:15:35.629
861759559,035318;159,698159662454;188,245263799338;13:15:35.641
861759575,658607;161,63483222275;181,487650424362;13:15:35.659
861759604,815113;163,332258273966;183,387566800654;13:15:35.688
861759620,969266;171,414004727372;186,050775871443;13:15:35.703
861759635,61851;168,831239115854;185,38364962618;13:15:35.719
861759648,80903;170,689118176972;184,725870374036;13:15:35.732
861759665,996392;171,299378809545;185,231227476575;13:15:35.748
861759681,23879;184,466825943363;189,647078959254;13:15:35.764
861759693,732236;199,785383295193;190,338017191533;13:15:35.776
861759710,739129;220,506161945011;193,786394465861;13:15:35.793
861759726,153443;260,923814099609;201,055367325881;13:15:35.809
861759756,813577;310,903939214343;211,863571623447;13:15:35.839
861759770,755055;317,075457400987;217,845173827184;13:15:35.853
861759783,579504;312,415293109009;209,311721309419;13:15:35.866
