// Data mode  : Full
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,62,2016/11/10 06:41:34.04,-10814,8125,-5525,-3162,-12555,16537,0,-188,188,94
,63,2016/11/10 06:41:34.05,-10814,8125,-5525,-3162,-12555,16537,-9,-194,185,101
,64,2016/11/10 06:41:34.06,-10814,8125,-5525,-3162,-12555,16537,1,-186,187,92
,65,2016/11/10 06:41:34.07,-10814,8125,-5525,-3162,-12555,16537,-6,-197,191,101
,66,2016/11/10 06:41:34.08,-10814,8125,-5525,-3162,-12555,16537,-12,-200,188,106
,67,2016/11/10 06:41:34.09,-10814,8125,-5525,-3162,-12555,16537,-4,-190,186,97
,68,2016/11/10 06:41:34.10,-10814,8125,-5525,-3162,-12555,16537,-20,-202,182,111
,69,2016/11/10 06:41:34.11,-10814,8125,-5525,-3162,-12555,16537,-14,-203,189,108
,70,2016/11/10 06:41:34.12,-10814,8125,-5525,-3162,-12555,16537,-12,-201,189,106
,71,2016/11/10 06:41:34.13,-10814,8125,-5525,-3162,-12555,16537,-23,-214,191,118
,72,2016/11/10 06:41:34.14,-10814,8125,-5525,-3162,-12555,16537,-13,-208,195,110
,73,2016/11/10 06:41:34.15,-10814,8125,-5525,-3162,-12555,16537,-12,-205,193,108
,74,2016/11/10 06:41:34.16,-10814,8125,-5525,-3162,-12555,16537,-10,-209,199,109
,75,2016/11/10 06:41:34.17,-10814,8125,-5525,-3162,-12555,16537,-16,-215,199,115
,76,2016/11/10 06:41:34.18,-10814,8125,-5525,-3162,-12555,16537,-16,-214,198,115
,77,2016/11/10 06:41:34.19,-10814,8125,-5525,-3162,-12555,16537,-16,-210,194,113
,78,2016/11/10 06:41:34.20,-10814,8125,-5525,-3162,-12555,16537,-22,-212,190,117
,79,2016/11/10 06:41:34.21,-10814,8125,-5525,-3162,-12555,16537,-15,-206,191,110
,80,2016/11/10 06:41:34.22,-10814,8125,-5525,-3162,-12555,16537,-21,-215,194,118
,81,2016/11/10 06:41:34.23,-10814,8125,-5525,-3162,-12555,16537,-23,-213,190,118
,82,2016/11/10 06:41:34.24,-10814,8125,-5525,-3162,-12555,16537,-11,-199,188,105
,83,2016/11/10 06:41:34.25,-10814,8125,-5525,-3162,-12555,16537,-21,-207,186,114
