key,value
Recording Name,2016_12_01
Start Date,01.12.2016
Start Time,09:39:09
System Info,"User: Charles, Platform: Darwin, Machine: LIMAs-MacBook.local, Release: 15.4.0, Version: Darwin Kernel Version 15.4.0: Fri Feb 26 22:08:05 PST 2016; root:xnu-3248.40.184~3/RELEASE_X86_64"
World Camera Frames,3874
World Camera Resolution,1280x720
Duration Time,00:02:11
Capture Software Version,0.8.5
