// Data mode  : Full
// Transmission speed  : 100Hz
// Accelerometer sensor's range  : 2g
// Gyroscope sensor's range  : 250dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2016/11/10 04:35:16.16,-2493,5554,-15201,-665,666,-288,-28,-205,177,116
,2,2016/11/10 04:35:16.17,-2499,5621,-15181,-764,646,-335,-34,-209,175,121
,3,2016/11/10 04:35:16.18,-2428,5675,-15129,-862,644,-363,-39,-200,161,119
,4,2016/11/10 04:35:16.19,-2536,5716,-15157,-947,641,-347,-37,-209,172,123
,5,2016/11/10 04:35:16.20,-2427,5784,-15227,-964,670,-369,-38,-194,156,116
,6,2016/11/10 04:35:16.21,-2424,5862,-15282,-981,693,-416,-36,-197,161,116
,7,2016/11/10 04:35:16.22,-2339,5905,-15206,-974,691,-402,-51,-211,160,131
,8,2016/11/10 04:35:16.23,-2354,5966,-15231,-913,757,-465,-42,-197,155,119
,9,2016/11/10 04:35:16.24,-2325,6011,-15365,-845,761,-476,-45,-218,173,131
,10,2016/11/10 04:35:16.25,-2284,6071,-15405,-759,786,-502,-56,-219,163,137
,11,2016/11/10 04:35:16.26,-2300,6027,-15468,-679,812,-533,-36,-214,178,125
,12,2016/11/10 04:35:16.27,-2294,6103,-15490,-588,816,-550,-52,-226,174,139
,13,2016/11/10 04:35:16.28,-2236,6001,-15500,-476,807,-539,-50,-215,165,132
,14,2016/11/10 04:35:16.29,-2089,5986,-15477,-363,822,-522,-40,-220,180,130
,15,2016/11/10 04:35:16.30,-2139,5905,-15458,-221,820,-495,-56,-224,168,140
,16,2016/11/10 04:35:16.31,-2033,5872,-15535,-94,840,-478,-38,-223,185,130
,17,2016/11/10 04:35:16.32,-2025,5803,-15556,34,826,-464,-34,-225,191,129
,18,2016/11/10 04:35:16.33,-1953,5678,-15722,98,836,-447,-33,-218,185,125
,19,2016/11/10 04:35:16.34,-1852,5686,-15780,149,808,-417,-23,-218,195,120
,20,2016/11/10 04:35:16.35,-1856,5513,-15800,183,725,-384,-22,-203,181,112
,21,2016/11/10 04:35:16.36,-1894,5405,-15947,153,604,-339,-33,-215,182,124
,22,2016/11/10 04:35:16.37,-1856,5318,-16007,106,430,-222,-61,-237,176,149
,23,2016/11/10 04:35:16.38,-1877,5238,-15925,52,232,-88,-73,-240,167,156
,24,2016/11/10 04:35:16.39,-1885,5155,-15816,-3,21,73,-93,-269,176,181
,25,2016/11/10 04:35:16.40,-1921,5140,-15728,-63,-145,252,-97,-260,163,178
,26,2016/11/10 04:35:16.41,-1993,5100,-15455,-116,-331,447,-68,-234,166,151
,27,2016/11/10 04:35:16.42,-1974,5181,-15217,-185,-497,668,-78,-240,162,159
,28,2016/11/10 04:35:16.43,-2003,5449,-14994,-242,-559,819,-67,-227,160,147
,29,2016/11/10 04:35:16.44,-2009,5609,-14876,-328,-495,874,-52,-226,174,139
,30,2016/11/10 04:35:16.45,-2116,5630,-15067,-357,-471,873,-68,-227,159,147
,31,2016/11/10 04:35:16.46,-2070,5680,-15295,-329,-458,848,-54,-225,171,139
,32,2016/11/10 04:35:16.47,-2229,5758,-15239,-259,-506,781,-61,-221,160,141
,33,2016/11/10 04:35:16.48,-2171,5800,-15333,-201,-519,670,-73,-229,156,151
,34,2016/11/10 04:35:16.49,-2171,5848,-15325,-183,-502,556,-78,-256,178,167
,35,2016/11/10 04:35:16.50,-2217,5748,-15245,-139,-465,423,-91,-252,161,171
,36,2016/11/10 04:35:16.51,-2295,5711,-15219,-82,-421,284,-104,-266,162,185
,37,2016/11/10 04:35:16.52,-2222,5568,-15343,-83,-359,175,-126,-288,162,207
,38,2016/11/10 04:35:16.53,-2295,5562,-15392,-117,-329,136,-136,-294,158,215
,39,2016/11/10 04:35:16.54,-2291,5520,-15565,-219,-301,136,-165,-336,171,250
,40,2016/11/10 04:35:16.55,-2490,5478,-15785,-351,-365,194,-185,-343,158,264
,41,2016/11/10 04:35:16.56,-2503,5586,-15662,-471,-417,280,-170,-333,163,251
,42,2016/11/10 04:35:16.57,-2622,5576,-15552,-571,-502,364,-185,-343,158,264
,43,2016/11/10 04:35:16.58,-2527,5651,-15435,-605,-553,474,-170,-324,154,247
,44,2016/11/10 04:35:16.59,-2628,5773,-15255,-592,-574,535,-141,-313,172,227
,45,2016/11/10 04:35:16.60,-2516,5888,-15286,-552,-534,579,-141,-302,161,221
,46,2016/11/10 04:35:16.61,-2602,5976,-15208,-456,-457,550,-115,-286,171,200
,47,2016/11/10 04:35:16.62,-2633,6100,-15189,-362,-330,491,-96,-268,172,182
,48,2016/11/10 04:35:16.63,-2551,6127,-15109,-244,-200,420,-91,-258,167,174
,49,2016/11/10 04:35:16.64,-2517,6154,-15059,-140,-72,299,-79,-259,180,169
,50,2016/11/10 04:35:16.65,-2512,6270,-15154,-42,18,171,-64,-232,168,148
,51,2016/11/10 04:35:16.66,-2458,6183,-15148,-36,106,31,-49,-228,179,138
,52,2016/11/10 04:35:16.67,-2456,6098,-15275,0,129,-96,-49,-226,177,137
,53,2016/11/10 04:35:16.68,-2410,5911,-15316,-56,119,-170,-30,-206,176,118
,54,2016/11/10 04:35:16.69,-2407,5944,-15432,-80,101,-205,-34,-222,188,128
,55,2016/11/10 04:35:16.70,-2369,5891,-15491,-122,50,-230,-40,-210,170,125
,56,2016/11/10 04:35:16.71,-2438,5863,-15446,-159,9,-233,-16,-192,176,104
,57,2016/11/10 04:35:16.72,-2445,5896,-15513,-203,-51,-228,-32,-206,174,119
,58,2016/11/10 04:35:16.73,-2456,5952,-15474,-232,-119,-209,-26,-199,173,112
,59,2016/11/10 04:35:16.74,-2509,5904,-15454,-251,-170,-231,-14,-197,183,105
,60,2016/11/10 04:35:16.75,-2462,5901,-15413,-189,-195,-239,-34,-197,163,115
,61,2016/11/10 04:35:16.76,-2626,5850,-15527,-145,-241,-216,-19,-190,171,104
,62,2016/11/10 04:35:16.77,-2603,5782,-15378,-82,-273,-147,-17,-187,170,102
,63,2016/11/10 04:35:16.78,-2646,5819,-15326,-1,-283,-104,-18,-187,169,102
,64,2016/11/10 04:35:16.79,-2600,5793,-15263,94,-299,-59,-9,-195,186,102
,65,2016/11/10 04:35:16.80,-2718,5832,-15248,177,-308,-27,-11,-186,175,98
,66,2016/11/10 04:35:16.81,-2692,5767,-15314,233,-277,-2,-15,-204,189,109
,67,2016/11/10 04:35:16.82,-2719,5689,-15291,249,-267,26,-31,-206,175,118
,68,2016/11/10 04:35:16.83,-2729,5672,-15390,313,-252,43,-23,-178,155,100
,69,2016/11/10 04:35:16.84,-2770,5610,-15293,289,-255,64,-22,-201,179,111
,70,2016/11/10 04:35:16.85,-2740,5494,-15275,298,-224,106,-27,-206,179,116
,71,2016/11/10 04:35:16.86,-2680,5468,-15261,283,-209,150,-18,-201,183,109
,72,2016/11/10 04:35:16.87,-2618,5400,-15193,243,-149,209,-45,-205,160,125
,73,2016/11/10 04:35:16.88,-2682,5301,-15123,242,-63,287,-57,-188,131,122
