TimeStamp;GazeX;GazeY;TimeStampWindows
416238969,450603;178,612744263868;104,860718466894;14:41:53.278
416238983,346762;175,494765417574;102,509522898607;14:41:53.285
416238997,162522;177,205607960975;96,0765517332838;14:41:53.299
416239013,363731;180,549335602423;90,4395409790416;14:41:53.315
416239028,309778;183,183005857363;96,0199979469344;14:41:53.33
416239042,758893;188,683730763218;112,845710149522;14:41:53.345
416239058,193747;190,876586287786;113,622972440918;14:41:53.36
416239073,287763;194,094339214763;121,284181293059;14:41:53.375
416239087,226259;196,824333303108;121,242581020199;14:41:53.389
416239119,283989;198,184201111857;124,905462004813;14:41:53.421
416239132,633607;200,371608201374;129,849052620292;14:41:53.434
416239148,317356;192,198939046845;114,194565166121;14:41:53.45
416239163,178301;191,934684587373;115,240003458563;14:41:53.465
416239177,6411;191,741053252106;113,207725693727;14:41:53.479
416239193,288926;204,370442327908;110,208177670111;14:41:53.495
416239208,131053;230,108046854414;104,267901001151;14:41:53.51
416239222,31374;253,612573005444;98,4783712651502;14:41:53.524
416239238,314807;250,669279997432;103,996672695839;14:41:53.541
416239268,348455;277,869595503591;103,010869479211;14:41:53.572
416239283,489512;295,317357487599;101,670941132787;14:41:53.585
416239298,409473;302,605326349521;102,802159722625;14:41:53.6
416239312,29494;309,742274640593;107,573717738032;14:41:53.614
416239328,326371;309,494740470973;118,874608084573;14:41:53.63
416239343,287814;309,57445649631;122,446774183748;14:41:53.645
416239357,298156;310,49791325367;116,119213822503;14:41:53.659
416239373,218825;310,550512180407;114,607365301485;14:41:53.675
416239388,243133;310,215356741055;110,635510670344;14:41:53.69
416239419,484045;309,527431768969;106,0632064093;14:41:53.722
416239433,778777;315,197594819793;103,577463037315;14:41:53.736
416239447,432884;316,574592591327;101,271242014978;14:41:53.749
416239463,267167;345,452134053596;103,896874888935;14:41:53.765
416239478,610076;416,520674029976;112,184925228959;14:41:53.781
416239492,217997;422,472175191552;113,408373592476;14:41:53.794
416239508,347788;424,999718674873;114,206154271344;14:41:53.81
416239523,490556;425,563173602906;115,278146467819;14:41:53.825
416239537,376023;431,743196268912;116,580582593367;14:41:53.839
416239569,246869;438,081185807909;119,243828263452;14:41:53.871
416239582,29157;436,185858773287;119,245040884601;14:41:53.884
416239598,39057;437,280533649761;125,114833034065;14:41:53.901
416239613,215592;437,468737353277;130,669060542867;14:41:53.915
416239627,328571;436,926590174676;131,250965130807;14:41:53.929
416239643,321513;432,837655265251;125,037206803135;14:41:53.945
416239658,26756;431,235096567142;122,661844667337;14:41:53.96
416239672,252671;431,884355264999;118,552368695936;14:41:53.974
416239688,294793;432,464505814443;115,325438581492;14:41:53.99
416239718,902351;434,667734407962;116,367024230812;14:41:54.021
416239733,370283;436,911881817817;115,090488734402;14:41:54.036
416239762,329238;427,83966722939;122,993939388817;14:41:54.065
